,party,result,council,region
1344,"Політична партія ""ДОВІРЯЙ ДІЛАМ""",11.76,Роздільнянська районна рада,Одеська обл.
1345,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Роздільнянська районна рада,Одеська обл.
1346,Радикальна партія Олега Ляшка,5.88,Роздільнянська районна рада,Одеська обл.
1347,Народна Партія,8.82,Ренійська районна рада,Одеська обл.
1348,Партія Пенсіонерів України,5.88,Ренійська районна рада,Одеська обл.
1349,"Політична Партія ""Опозиційний блок""",19.44,Овідіопольська районна рада,Одеська обл.
1350,"Партія ""Відродження""",19.44,Овідіопольська районна рада,Одеська обл.
1351,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.11,Овідіопольська районна рада,Одеська обл.
1352,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Овідіопольська районна рада,Одеська обл.
1353,Аграрна партія України,30.77,Миколаївська районна рада,Одеська обл.
1356,"Партія ""Відродження""",42.31,Шевченківська районна рада,Харківська обл.
1357,"Політична партія ""Всеукраїнське об’єднання ""ЦЕНТР""",41.18,Чугуївська районна рада,Харківська обл.
1358,"Партія ""Відродження""",30.95,Харківська районна рада,Харківська обл.
1359,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.46,Сахновщинська районна рада,Харківська обл.
1360,"Політична партія ""Наш край""",8.33,Овідіопольська районна рада,Одеська обл.
1361,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.08,Миколаївська районна рада,Одеська обл.
1362,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Миколаївська районна рада,Одеська обл.
1363,"Політична Партія ""Опозиційний блок""",15.38,Миколаївська районна рада,Одеська обл.
1364,"Партія ""Відродження""",7.69,Миколаївська районна рада,Одеська обл.
1365,Радикальна партія Олега Ляшка,7.69,Миколаївська районна рада,Одеська обл.
1374,"Політична партія ""Наш край""",19.23,Шевченківська районна рада,Харківська обл.
1375,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Шевченківська районна рада,Харківська обл.
1376,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Шевченківська районна рада,Харківська обл.
1377,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ""",7.69,Шевченківська районна рада,Харківська обл.
1378,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.59,Чугуївська районна рада,Харківська обл.
1379,Аграрна партія України,8.82,Чугуївська районна рада,Харківська обл.
1380,"Політична партія ""Наш край""",8.82,Чугуївська районна рада,Харківська обл.
1381,"Партія ""Відродження""",8.82,Чугуївська районна рада,Харківська обл.
1382,Радикальна партія Олега Ляшка,5.88,Чугуївська районна рада,Харківська обл.
1383,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.81,Харківська районна рада,Харківська обл.
1384,"Політична партія ""Наш край""",16.67,Харківська районна рада,Харківська обл.
1385,"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.52,Харківська районна рада,Харківська обл.
1386,"Партія ""Відродження""",30.77,Сахновщинська районна рада,Харківська обл.
1387,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Сахновщинська районна рада,Харківська обл.
1388,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Сахновщинська районна рада,Харківська обл.
1389,"Політична партія ""Наш край""",3.85,Сахновщинська районна рада,Харківська обл.
1392,"Політична партія ""Наш край""",42.31,Печенізька районна рада,Харківська обл.
1393,"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.88,Чугуївська районна рада,Харківська обл.
1394,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.14,Харківська районна рада,Харківська обл.
1395,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.14,Харківська районна рада,Харківська обл.
1396,Радикальна партія Олега Ляшка,4.76,Харківська районна рада,Харківська обл.
1397,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.08,Печенізька районна рада,Харківська обл.
1398,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Печенізька районна рада,Харківська обл.
1399,Аграрна партія України,7.69,Печенізька районна рада,Харківська обл.
1400,"Партія ""Відродження""",7.69,Печенізька районна рада,Харківська обл.
1401,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.46,Первомайська районна рада,Харківська обл.
1402,"Партія ""Відродження""",44.12,Нововодолазька районна рада,Харківська обл.
1403,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",41.18,Лозівська районна рада,Харківська обл.
1404,"Партія ""Відродження""",38.24,Куп'янська районна рада,Харківська обл.
1405,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",32.35,Краснокутська районна рада,Харківська обл.
1406,"Партія ""Відродження""",44.12,Красноградська районна рада,Харківська обл.
1407,Народна Партія,46.15,Троїцька районна рада,Луганська обл.
1408,"Партія ""Відродження""",30.77,Первомайська районна рада,Харківська обл.
1409,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ""",11.54,Первомайська районна рада,Харківська обл.
1410,"Політична партія ""Наш край""",11.54,Первомайська районна рада,Харківська обл.
1411,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Первомайська районна рада,Харківська обл.
1412,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Нововодолазька районна рада,Харківська обл.
1413,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Нововодолазька районна рада,Харківська обл.
1414,"Політична партія ""Наш край""",8.82,Нововодолазька районна рада,Харківська обл.
1415,Аграрна партія України,14.71,Лозівська районна рада,Харківська обл.
1416,"Політична партія ""Нова держава""",11.76,Лозівська районна рада,Харківська обл.
1417,"Партія ""Відродження""",8.82,Лозівська районна рада,Харківська обл.
1418,"Політична партія ""Наш край""",8.82,Лозівська районна рада,Харківська обл.
1419,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",35.29,Куп'янська районна рада,Харківська обл.
1420,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Куп'янська районна рада,Харківська обл.
1421,Радикальна партія Олега Ляшка,5.88,Куп'янська районна рада,Харківська обл.
1422,"Політична партія ""Нова держава""",5.88,Куп'янська районна рада,Харківська обл.
1423,"Партія ""Відродження""",26.47,Краснокутська районна рада,Харківська обл.
1424,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Краснокутська районна рада,Харківська обл.
1425,Аграрна партія України,8.82,Краснокутська районна рада,Харківська обл.
1426,"Політична партія ""Наш край""",8.82,Краснокутська районна рада,Харківська обл.
1427,Аграрна партія України,23.53,Красноградська районна рада,Харківська обл.
1428,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Красноградська районна рада,Харківська обл.
1429,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Красноградська районна рада,Харківська обл.
1430,Радикальна партія Олега Ляшка,5.88,Красноградська районна рада,Харківська обл.
1431,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Троїцька районна рада,Луганська обл.
1432,"Політична партія ""Наш край""",19.23,Троїцька районна рада,Луганська обл.
1433,"Партія Сергія Тігіпка ""Сильна Україна""",11.54,Троїцька районна рада,Луганська обл.
1434,Радикальна партія Олега Ляшка,8.82,Нововодолазька районна рада,Харківська обл.
1435,Партія ветеранів Афганістану,5.88,Нововодолазька районна рада,Харківська обл.
1436,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Лозівська районна рада,Харківська обл.
1437,Радикальна партія Олега Ляшка,5.88,Лозівська районна рада,Харківська обл.
1438,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ""",5.88,Краснокутська районна рада,Харківська обл.
1439,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Краснокутська районна рада,Харківська обл.
1440,"Політична Партія ""Опозиційний блок""",35.29,Старобільська районна рада,Луганська обл.
1441,"Політична Партія ""Опозиційний блок""",26.47,Новобузька районна рада,Миколаївська обл.
1442,"Політична партія ""Наш край""",20.59,Старобільська районна рада,Луганська обл.
1443,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.59,Старобільська районна рада,Луганська обл.
1444,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Старобільська районна рада,Луганська обл.
1445,Радикальна партія Олега Ляшка,8.82,Старобільська районна рада,Луганська обл.
1446,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Новобузька районна рада,Миколаївська обл.
1447,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Новобузька районна рада,Миколаївська обл.
1448,"Політична партія ""Наш край""",11.76,Новобузька районна рада,Миколаївська обл.
1449,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.24,Снігурівська районна рада,Миколаївська обл.
1450,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.24,Первомайська районна рада,Миколаївська обл.
1451,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",30.77,Очаківська районна рада,Миколаївська обл.
1452,"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Старобільська районна рада,Луганська обл.
1453,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Новоодеська районна рада,Миколаївська обл.
1456,Радикальна партія Олега Ляшка,8.82,Новобузька районна рада,Миколаївська обл.
1457,Народна Партія,8.82,Новобузька районна рада,Миколаївська обл.
1458,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Новобузька районна рада,Миколаївська обл.
1459,"Партія ""Відродження""",5.88,Новобузька районна рада,Миколаївська обл.
1460,"Політична партія ""Наш край""",35.29,Снігурівська районна рада,Миколаївська обл.
1461,"Політична Партія ""Опозиційний блок""",17.65,Снігурівська районна рада,Миколаївська обл.
1462,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Снігурівська районна рада,Миколаївська обл.
1463,"Політична Партія ""Опозиційний блок""",20.59,Первомайська районна рада,Миколаївська обл.
1464,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Первомайська районна рада,Миколаївська обл.
1465,"Політична партія ""Наш край""",14.71,Первомайська районна рада,Миколаївська обл.
1466,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Первомайська районна рада,Миколаївська обл.
1467,"Політична Партія ""Опозиційний блок""",26.92,Очаківська районна рада,Миколаївська обл.
1468,"Політична партія ""Наш край""",23.08,Очаківська районна рада,Миколаївська обл.
1469,"Політична партія ""Нова держава""",11.54,Очаківська районна рада,Миколаївська обл.
1470,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Очаківська районна рада,Миколаївська обл.
1471,"Політична Партія ""Опозиційний блок""",17.65,Новоодеська районна рада,Миколаївська обл.
1472,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",14.71,Новоодеська районна рада,Миколаївська обл.
1473,"Політична партія ""Наш край""",14.71,Новоодеська районна рада,Миколаївська обл.
1482,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Новоодеська районна рада,Миколаївська обл.
1483,Радикальна партія Олега Ляшка,8.82,Новоодеська районна рада,Миколаївська обл.
1484,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Новоодеська районна рада,Миколаївська обл.
1607,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Любашівська районна рада,Одеська обл.
1608,"Партія ""Відродження""",26.92,Красноокнянська районна рада,Одеська обл.
1637,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Любашівська районна рада,Одеська обл.
1638,"Політична Партія ""Опозиційний блок""",14.71,Любашівська районна рада,Одеська обл.
1639,Аграрна партія України,14.71,Любашівська районна рада,Одеська обл.
1640,"Партія ""Відродження""",14.71,Любашівська районна рада,Одеська обл.
1641,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Красноокнянська районна рада,Одеська обл.
1642,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Красноокнянська районна рада,Одеська обл.
1643,"Політична Партія ""Опозиційний блок""",11.54,Красноокнянська районна рада,Одеська обл.
1644,Аграрна партія України,7.69,Красноокнянська районна рада,Одеська обл.
