party,result,council
"політична партія Всеукраїнське об’єднання ""Свобода""",  17.65,"Волинська обл., Любомльська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.71,"Волинська обл., Любомльська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Волинська обл., Любомльська районна рада"
"Політична партія ""Громадянська позиція""",  11.76,"Волинська обл., Ратнівська районна рада"
Аграрна партія України,   8.82,"Волинська обл., Ратнівська районна рада"
Радикальна партія Олега Ляшка,   5.88,"Волинська обл., Ратнівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Волинська обл., Ратнівська районна рада"
Партія Пенсіонерів України,   3.85,"Кіровоградська обл., Бобринецька районна рада"
"Політична партія ""Наш край""",  23.08,"Кіровоградська обл., Світловодська районна рада"
"Політична партія ""Наш край""",  20.59,"Кіровоградська обл., Маловисківська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Кіровоградська обл., Маловисківська районна рада"
"Політична Партія ""Опозиційний блок""",  14.71,"Кіровоградська обл., Маловисківська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  42.31,"Кіровоградська обл., Петрівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Київська обл., Баришівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  30.77,"Кіровоградська обл., Онуфріївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  47.06,"Кіровоградська обл., Олександрійська районна рада"
Аграрна партія України,  11.76,"Волинська обл., Старовижівська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Волинська обл., Старовижівська районна рада"
"Політична партія ""Наш край""",  26.47,"Чернігівська обл., Бахмацька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Львівська обл., Бродівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  26.47,"Кіровоградська обл., Олександрівська районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Волинська обл., Маневицька районна рада"
Радикальна партія Олега Ляшка,   8.82,"Волинська обл., Маневицька районна рада"
Аграрна партія України,   8.82,"Волинська обл., Маневицька районна рада"
"Політична партія ""Громадянська позиція""",   8.82,"Волинська обл., Рожищенська районна рада"
Аграрна партія України,   5.88,"Волинська обл., Рожищенська районна рада"
Радикальна партія Олега Ляшка,  14.71,"Волинська обл., Любомльська районна рада"
