party,result,council,region
"Політична Партія ""Опозиційний блок""",11.9,Житомирська міська рада,Житомирська обл.
Радикальна партія Олега Ляшка,5.88,Першотравенська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.88,Першотравенська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.88,Тернівська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",36.11,Новомосковська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",28.57,Нікопольська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",23.53,Марганецька міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,9.52,Житомирська міська рада,Житомирська обл.
"Політична Партія ""Опозиційний блок""",45.31,Криворізька міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",29.41,Жовтоводська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Новомосковська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.11,Новомосковська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",11.11,Новомосковська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",26.19,Дніпродзержинська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",19.05,Нікопольська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Нікопольська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Марганецька міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",14.71,Марганецька міська рада,Дніпропетровська обл.
"Партія ""Відродження""",11.76,Марганецька міська рада,Дніпропетровська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",10.94,Криворізька міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",10.94,Криворізька міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",9.38,Криворізька міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",20.59,Жовтоводська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,14.71,Жовтоводська міська рада,Дніпропетровська обл.
Партія Зелених України,11.11,Новомосковська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Новомосковська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,5.56,Новомосковська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",14.29,Дніпродзержинська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.9,Дніпродзержинська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",9.52,Дніпродзержинська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",14.29,Нікопольська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.9,Нікопольська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.24,Малинська міська рада,Житомирська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Марганецька міська рада,Дніпропетровська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Марганецька міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,5.88,Марганецька міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.38,Криворізька міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,7.81,Криворізька міська рада,Дніпропетровська обл.
"Політична партія ""Сила людей""",6.25,Криворізька міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Жовтоводська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Жовтоводська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",11.76,Жовтоводська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",9.52,Дніпродзержинська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.52,Дніпродзержинська міська рада,Дніпропетровська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.14,Дніпродзержинська міська рада,Дніпропетровська обл.
"Партія ""Громадська сила""",9.52,Нікопольська міська рада,Дніпропетровська обл.
