party,result,council
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.43,"Кіровоградська обл., Кіровоградська міська рада"
"Політична партія ""Наш край""",  23.53,"Київська обл., Обухівська міська рада"
Радикальна партія Олега Ляшка,   3.85,"Вінницька обл., Ладижинська міська рада"
"Політична Партія ""Опозиційний блок""",  22.22,"Кіровоградська обл., Олександрійська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.89,"Кіровоградська обл., Олександрійська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  13.89,"Кіровоградська обл., Олександрійська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  14.71,"Кіровоградська обл., Світловодська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Кіровоградська обл., Світловодська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Кіровоградська обл., Світловодська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  20.59,"Запорізька обл., Токмацька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Запорізька обл., Токмацька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Запорізька обл., Токмацька міська рада"
"Партія ""Відродження""",  25.00,"Закарпатська обл., Мукачівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.11,"Закарпатська обл., Мукачівська міська рада"
"""КМКС"" Партія угорців України",   8.33,"Закарпатська обл., Мукачівська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Вінницька обл., Жмеринська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Закарпатська обл., Ужгородська міська рада"
"Політична партія ""ПАТРІОТ""",  13.89,"Закарпатська обл., Ужгородська міська рада"
політична партія Єдиний Центр,   8.33,"Закарпатська обл., Ужгородська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Кіровоградська обл., Знам'янська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Кіровоградська обл., Знам'янська міська рада"
"Політична партія ""Сила людей""",  11.76,"Кіровоградська обл., Знам'янська міська рада"
"Політична партія ""Наш край""",  16.67,"Кіровоградська обл., Кіровоградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.29,"Кіровоградська обл., Кіровоградська міська рада"
"Політична Партія ""Опозиційний блок""",  11.90,"Кіровоградська обл., Кіровоградська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.71,"Київська обл., Обухівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Київська обл., Обухівська міська рада"
Радикальна партія Олега Ляшка,  11.11,"Кіровоградська обл., Олександрійська міська рада"
"Політична партія ""Сила людей""",   8.33,"Кіровоградська обл., Олександрійська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  11.76,"Кіровоградська обл., Світловодська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Кіровоградська обл., Світловодська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Запорізька обл., Токмацька міська рада"
"Політична партія ""Наш край""",   5.88,"Запорізька обл., Токмацька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Закарпатська обл., Мукачівська міська рада"
"Політична партія ""Наш край""",   8.33,"Закарпатська обл., Ужгородська міська рада"
"Політична партія ""Європейська партія України""",   8.33,"Закарпатська обл., Ужгородська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Закарпатська обл., Ужгородська міська рада"
"Партія ""Відродження""",   8.82,"Кіровоградська обл., Знам'янська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Кіровоградська обл., Знам'янська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Кіровоградська обл., Знам'янська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   9.52,"Кіровоградська обл., Кіровоградська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   7.14,"Кіровоградська обл., Кіровоградська міська рада"
"Політична партія ""Рідне місто""",   7.14,"Кіровоградська обл., Кіровоградська міська рада"
"Політична партія ""Сила людей""",  11.76,"Київська обл., Обухівська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Київська обл., Обухівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Київська обл., Обухівська міська рада"
