party,result,council
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   7.81,"Одеська обл., Одеська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Сумська обл., Конотопська міська рада"
Народна Партія,  13.89,"Сумська обл., Конотопська міська рада"
"Політична партія ""Воля народу"" ",  11.11,"Сумська обл., Конотопська міська рада"
"Політична партія ""Рідне місто""",  11.11,"Сумська обл., Конотопська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  17.65,"Сумська обл., Глухівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Сумська обл., Глухівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Сумська обл., Глухівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   8.82,"Сумська обл., Глухівська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Сумська обл., Глухівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.43,"Сумська обл., Сумська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   9.52,"Сумська обл., Сумська міська рада"
"Політична Партія ""Опозиційний блок""",   9.52,"Сумська обл., Сумська міська рада"
"Політична партія ""За Україну!""",   9.52,"Сумська обл., Сумська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   7.14,"Сумська обл., Сумська міська рада"
"Політична партія ""Рідне місто""",  19.23,"Полтавська обл., Гадяцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",  15.38,"Полтавська обл., Гадяцька міська рада"
"Партія ""Відродження""",  11.54,"Полтавська обл., Гадяцька міська рада"
Радикальна партія Олега Ляшка,  11.54,"Полтавська обл., Гадяцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  15.38,"Івано-Франківська обл., Яремчанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Івано-Франківська обл., Яремчанська міська рада"
Радикальна партія Олега Ляшка,  11.54,"Івано-Франківська обл., Яремчанська міська рада"
"Політична партія ""Сила людей""",  11.54,"Івано-Франківська обл., Яремчанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Івано-Франківська обл., Коломийська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Івано-Франківська обл., Коломийська міська рада"
політична партія Народний Рух України,   8.82,"Івано-Франківська обл., Коломийська міська рада"
Українська Народна Партія,   8.82,"Івано-Франківська обл., Коломийська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Івано-Франківська обл., Коломийська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Рівненська обл., Кузнецовська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Сумська обл., Конотопська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Сумська обл., Конотопська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Сумська обл., Конотопська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   5.88,"Сумська обл., Глухівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Полтавська обл., Гадяцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Полтавська обл., Гадяцька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   7.69,"Івано-Франківська обл., Яремчанська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   7.69,"Івано-Франківська обл., Яремчанська міська рада"
політична партія Конгрес Українських Націоналістів,   7.69,"Івано-Франківська обл., Яремчанська міська рада"
"Політична партія ""Громадянська позиція""",   3.85,"Івано-Франківська обл., Яремчанська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   8.82,"Івано-Франківська обл., Коломийська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Івано-Франківська обл., Коломийська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Івано-Франківська обл., Коломийська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  16.67,"Івано-Франківська обл., Калуська міська рада"
"Політична партія ""Воля""",  23.08,"Івано-Франківська обл., Болехівська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  33.33,"Івано-Франківська обл., Івано-Франківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.23,"Івано-Франківська обл., Бурштинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  20.59,"Рівненська обл., Дубенська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.43,"Рівненська обл., Рівненська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  34.62,"Рівненська обл., Острозька міська рада"
"Політична партія ""Нові обличчя""",  26.47,"Київська обл., Фастівська міська рада"
Українська партія,  16.67,"Івано-Франківська обл., Калуська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  13.89,"Івано-Франківська обл., Калуська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Івано-Франківська обл., Калуська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.11,"Івано-Франківська обл., Калуська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.11,"Івано-Франківська обл., Калуська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.23,"Івано-Франківська обл., Болехівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  15.38,"Івано-Франківська обл., Болехівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  15.38,"Івано-Франківська обл., Болехівська міська рада"
Радикальна партія Олега Ляшка,  11.54,"Івано-Франківська обл., Болехівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.43,"Івано-Франківська обл., Івано-Франківська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.29,"Івано-Франківська обл., Івано-Франківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.29,"Івано-Франківська обл., Івано-Франківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.52,"Івано-Франківська обл., Івано-Франківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" ",  15.38,"Івано-Франківська обл., Бурштинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Івано-Франківська обл., Бурштинська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  15.38,"Івано-Франківська обл., Бурштинська міська рада"
"Політична партія ""Громадянська позиція""",  11.54,"Івано-Франківська обл., Бурштинська міська рада"
Радикальна партія Олега Ляшка,   7.69,"Івано-Франківська обл., Бурштинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Рівненська обл., Дубенська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Рівненська обл., Дубенська міська рада"
"Політична партія ""Громадянська позиція""",  11.76,"Рівненська обл., Дубенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Рівненська обл., Дубенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПРОГРЕС""",   8.82,"Рівненська обл., Дубенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.05,"Рівненська обл., Рівненська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  16.67,"Рівненська обл., Рівненська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.29,"Рівненська обл., Рівненська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ГРОМАДСЬКИЙ КОНТРОЛЬ""",  11.90,"Рівненська обл., Рівненська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  26.92,"Рівненська обл., Острозька міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",  11.54,"Рівненська обл., Острозька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.54,"Рівненська обл., Острозька міська рада"
"Політична партія ""Громадянська позиція""",   7.69,"Рівненська обл., Острозька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Київська обл., Фастівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Київська обл., Фастівська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.76,"Київська обл., Фастівська міська рада"
"Політична партія ""АВТО-МАЙДАН""",   8.33,"Івано-Франківська обл., Калуська міська рада"
політична партія Народний Рух України,   8.33,"Івано-Франківська обл., Калуська міська рада"
політична партія Народний Рух України,   7.69,"Івано-Франківська обл., Болехівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   7.69,"Івано-Франківська обл., Болехівська міська рада"
Українська Народна Партія,   7.14,"Івано-Франківська обл., Івано-Франківська міська рада"
"Політична партія ""Сила людей""",   7.69,"Івано-Франківська обл., Бурштинська міська рада"
"Політична партія ""Воля""",   7.69,"Івано-Франківська обл., Бурштинська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Рівненська обл., Дубенська міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",   5.88,"Рівненська обл., Дубенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   5.88,"Рівненська обл., Дубенська міська рада"
Радикальна партія Олега Ляшка,   9.52,"Рівненська обл., Рівненська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.14,"Рівненська обл., Рівненська міська рада"
Радикальна партія Олега Ляшка,   7.69,"Рівненська обл., Острозька міська рада"
Радикальна партія Олега Ляшка,   8.82,"Київська обл., Фастівська міська рада"
"Політична Партія ""Третя Сила""",   8.82,"Київська обл., Фастівська міська рада"
"Політична Партія ""Опозиційний блок""",   5.88,"Київська обл., Фастівська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Київська обл., Фастівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Київська обл., Фастівська міська рада"
"Політична Партія ""Опозиційний блок""",  19.23,"Київська обл., Славутицька міська рада"
"Політична Партія ""Третя Сила""",  23.08,"Київська обл., Ржищівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Київська обл., Переяслав-Хмельницька міська рада"
"Політична партія ""Нові обличчя""",  23.53,"Київська обл., Бучанська міська рада"
"Політична партія ""Нові обличчя""",  41.67,"Київська обл., Ірпінська міська рада"
"Політична партія ""Наш край""",  15.38,"Київська обл., Славутицька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Київська обл., Славутицька міська рада"
"Політична партія ""Совість України""",  11.54,"Київська обл., Славутицька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.54,"Київська обл., Славутицька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Київська обл., Славутицька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Київська обл., Васильківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  15.38,"Київська обл., Ржищівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Київська обл., Ржищівська міська рада"
"Політична партія ""Нові обличчя""",  11.54,"Київська обл., Ржищівська міська рада"
"Політична партія ""Наш край""",  11.54,"Київська обл., Ржищівська міська рада"
Радикальна партія Олега Ляшка,   7.69,"Київська обл., Ржищівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  22.22,"Київська обл., Броварська міська рада"
"Політична партія ""Наш край""",  20.59,"Київська обл., Переяслав-Хмельницька міська рада"
"Політична партія ""Нові обличчя""",   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
Радикальна партія Олега Ляшка,   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
"Політична партія ""Наш край""",  29.41,"Київська обл., Бориспільська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Київська обл., Бучанська міська рада"
Партія захисників Вітчизни,  17.65,"Київська обл., Бучанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Київська обл., Бучанська міська рада"
"Політична партія ""Наш край""",   8.82,"Київська обл., Бучанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Київська обл., Ірпінська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.11,"Київська обл., Ірпінська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Київська обл., Ірпінська міська рада"
"Партія ""Солідарність жінок України""",   8.33,"Київська обл., Ірпінська міська рада"
"Політична партія ""Національна Демократична партія України""",   7.69,"Київська обл., Славутицька міська рада"
Партія ветеранів Афганістану,   7.69,"Київська обл., Славутицька міська рада"
Соціал-демократична партія України,   7.69,"Київська обл., Славутицька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Київська обл., Васильківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Київська обл., Васильківська міська рада"
"Політична партія ""Сила людей""",  11.76,"Київська обл., Васильківська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Київська обл., Васильківська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Київська обл., Васильківська міська рада"
"Політична Партія ""Опозиційний блок""",   7.69,"Київська обл., Ржищівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Київська обл., Ржищівська міська рада"
"Українська партія ""Єдність""",  16.67,"Київська обл., Броварська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.89,"Київська обл., Броварська міська рада"
політична партія ДемАльянс (Демократичний альянс),  11.11,"Київська обл., Броварська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Київська обл., Броварська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.11,"Київська обл., Броварська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Київська обл., Переяслав-Хмельницька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  20.59,"Київська обл., Бориспільська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Київська обл., Бориспільська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.76,"Київська обл., Бориспільська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Київська обл., Бориспільська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Київська обл., Бучанська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Київська обл., Бучанська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Київська обл., Ірпінська міська рада"
Партія захисників Вітчизни,   5.56,"Київська обл., Ірпінська міська рада"
Народна Партія,   8.82,"Київська обл., Васильківська міська рада"
"Політична Партія ""Опозиційний блок""",   5.88,"Київська обл., Васильківська міська рада"
"Політична партія ""Нові обличчя""",   5.88,"Київська обл., Васильківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Київська обл., Броварська міська рада"
Радикальна партія Олега Ляшка,   5.56,"Київська обл., Броварська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Київська обл., Бориспільська міська рада"
"Політична партія ""Сила людей""",   8.82,"Київська обл., Бориспільська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  26.19,"Київська обл., Білоцерківська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  14.29,"Київська обл., Білоцерківська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.29,"Київська обл., Білоцерківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.90,"Київська обл., Білоцерківська міська рада"
Партія промисловців і підприємців України,  23.08,"Київська обл., Березанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Волинська обл., Нововолинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  25.00,"Волинська обл., Ковельська міська рада"
Радикальна партія Олега Ляшка,   9.52,"Київська обл., Білоцерківська міська рада"
"Політична партія ""Партія економічного відродження України"" ",   9.52,"Київська обл., Білоцерківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.14,"Київська обл., Білоцерківська міська рада"
"Політична Партія ""Опозиційний блок""",   7.14,"Київська обл., Білоцерківська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Київська обл., Березанська міська рада"
"Політична Партія ""Опозиційний блок""",  11.54,"Київська обл., Березанська міська рада"
"Політична партія ""Наш край""",  11.54,"Київська обл., Березанська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   7.69,"Київська обл., Березанська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  19.44,"Львівська обл., Червоноградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Волинська обл., Нововолинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.71,"Волинська обл., Нововолинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.71,"Волинська обл., Нововолинська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Волинська обл., Нововолинська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Волинська обл., Нововолинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  19.23,"Львівська обл., Трускавецька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  22.22,"Волинська обл., Ковельська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  13.89,"Волинська обл., Ковельська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  17.65,"Львівська обл., Стрийська міська рада"
"Політична партія ""Воля""",  23.53,"Львівська обл., Самбірська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   7.69,"Київська обл., Березанська міська рада"
Радикальна партія Олега Ляшка,   7.69,"Київська обл., Березанська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   7.69,"Київська обл., Березанська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Київська обл., Березанська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Львівська обл., Червоноградська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  13.89,"Львівська обл., Червоноградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  13.89,"Львівська обл., Червоноградська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  11.11,"Львівська обл., Червоноградська міська рада"
Радикальна партія Олега Ляшка,  11.11,"Львівська обл., Червоноградська міська рада"
"Політична партія ""Громадянська позиція""",   8.82,"Волинська обл., Нововолинська міська рада"
"Політична партія ""Наш край""",   5.88,"Волинська обл., Нововолинська міська рада"
"Політична партія ""Громадянська позиція""",  15.38,"Львівська обл., Трускавецька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Львівська обл., Трускавецька міська рада"
політична партія Конгрес Українських Націоналістів,  11.54,"Львівська обл., Трускавецька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.54,"Львівська обл., Трускавецька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.89,"Волинська обл., Ковельська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.11,"Волинська обл., Ковельська міська рада"
Радикальна партія Олега Ляшка,   8.33,"Волинська обл., Ковельська міська рада"
"Політична партія ""Сила людей""",   5.56,"Волинська обл., Ковельська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Львівська обл., Стрийська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Львівська обл., Стрийська міська рада"
"Політична партія ""Громадянська позиція""",  11.76,"Львівська обл., Стрийська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Львівська обл., Стрийська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Львівська обл., Самбірська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Львівська обл., Самбірська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Львівська обл., Самбірська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Львівська обл., Самбірська міська рада"
політична партія Народний Рух України,   8.33,"Львівська обл., Червоноградська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.56,"Львівська обл., Червоноградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Львівська обл., Трускавецька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   7.69,"Львівська обл., Трускавецька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Львівська обл., Трускавецька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   8.82,"Львівська обл., Стрийська міська рада"
"Політична партія ""Сила людей""",   5.88,"Львівська обл., Стрийська міська рада"
політична партія Конгрес Українських Націоналістів,   5.88,"Львівська обл., Стрийська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Львівська обл., Стрийська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   8.82,"Львівська обл., Самбірська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Львівська обл., Самбірська міська рада"
політична партія Конгрес Українських Націоналістів,   8.82,"Львівська обл., Самбірська міська рада"
політична партія Народний Рух України,   5.88,"Львівська обл., Самбірська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  17.65,"Львівська обл., Бориславська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  19.44,"Львівська обл., Дрогобицька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.71,"Львівська обл., Бориславська міська рада"
"Політична партія ""Громадянська позиція""",  11.76,"Львівська обл., Бориславська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Львівська обл., Бориславська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Львівська обл., Бориславська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   8.82,"Львівська обл., Бориславська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Львівська обл., Бориславська міська рада"
